School Cohort G3-8,Year,Score
Achievement First,2007,
Achievement First,2008,
Achievement First,2009,61.3
Achievement First,2010,81.7
Achievement First,2011,85.5
Achievement First,2012,89.7
Asian Studies,2007,59.8
Asian Studies,2008,70.6
Asian Studies,2009,47.3
Asian Studies,2010,60.9
Asian Studies,2011,41.9
Asian Studies,2012,40.2
Batchelder,2007,62.6
Batchelder,2008,48.3
Batchelder,2009,59.7
Batchelder,2010,60.3
Batchelder,2011,66.2
Batchelder,2012,58.6
Betances,2007,50
Betances,2008,40.1
Betances,2009,36.9
Betances,2010,
Betances,2011,
Betances,2012,
Breakthrough,2007,73.3
Breakthrough,2008,72.9
Breakthrough,2009,72.1
Breakthrough,2010,86
Breakthrough,2011,75.8
Breakthrough,2012,80.6
Breakthrough (Hartford Residents),2007,61.5
Breakthrough (Hartford Residents),2008,68.3
Breakthrough (Hartford Residents),2009,63.8
Breakthrough (Hartford Residents),2010,80.9
Breakthrough (Hartford Residents),2011,69
Breakthrough (Hartford Residents),2012,75
Burns,2007,35.6
Burns,2008,28.5
Burns,2009,41.1
Burns,2010,50.3
Burns,2011,39.7
Burns,2012,39.1
Burr,2007,56.7
Burr,2008,56.3
Burr,2009,56.7
Burr,2010,73.2
Burr,2011,61.8
Burr,2012,47.8
Capital,2007,
Capital,2008,
Capital,2009,
Capital,2010,66.2
Capital,2011,73.2
Capital,2012,74.3
Capital (Hartford Residents),2007,
Capital (Hartford Residents),2008,
Capital (Hartford Residents),2009,
Capital (Hartford Residents),2010,61.5
Capital (Hartford Residents),2011,69.1
Capital (Hartford Residents),2012,69.4
Clark,2007,53.4
Clark,2008,17.4
Clark,2009,29.7
Clark,2010,42.4
Clark,2011,50.5
Clark,2012,34.8
Classical,2007,
Classical,2008,
Classical,2009,
Classical,2010,80.9
Classical,2011,76.8
Classical,2012,73.2
Classical (Hartford Residents),2007,
Classical (Hartford Residents),2008,
Classical (Hartford Residents),2009,
Classical (Hartford Residents),2010,74.8
Classical (Hartford Residents),2011,67.5
Classical (Hartford Residents),2012,61.4
Hartford,2007,46.3
Hartford,2008,47.8
Hartford,2009,54.1
Hartford,2010,69.2
Hartford,2011,64
Hartford,2012,61.3
HMMS,2007,
HMMS,2008,
HMMS,2009,
HMMS,2010,85.3
HMMS,2011,83
HMMS,2012,80.2
HMMS (Hartford Residents),2007,
HMMS (Hartford Residents),2008,
HMMS (Hartford Residents),2009,
HMMS (Hartford Residents),2010,76.9
HMMS (Hartford Residents),2011,76.3
HMMS (Hartford Residents),2012,72.5
Hooker,2007,57
Hooker,2008,54.6
Hooker,2009,70.3
Hooker,2010,70.2
Hooker,2011,56.7
Hooker,2012,64.1
Hooker (Hartford Residents),2007,
Hooker (Hartford Residents),2008,
Hooker (Hartford Residents),2009,
Hooker (Hartford Residents),2010,
Hooker (Hartford Residents),2011,56.7
Hooker (Hartford Residents),2012,69
Kennelly,2007,52.7
Kennelly,2008,47.9
Kennelly,2009,67.2
Kennelly,2010,66.4
Kennelly,2011,47
Kennelly,2012,48.4
Kinsella,2007,38.3
Kinsella,2008,46.3
Kinsella,2009,67
Kinsella,2010,77.8
Kinsella,2011,90.4
Kinsella,2012,79
Kinsella (Hartford Residents),2007,38.6
Kinsella (Hartford Residents),2008,45.3
Kinsella (Hartford Residents),2009,62
Kinsella (Hartford Residents),2010,68.5
Kinsella (Hartford Residents),2011,86.7
Kinsella (Hartford Residents),2012,69.2
McDonough,2007,43.3
McDonough,2008,57.3
McDonough,2009,46.2
McDonough,2010,58.9
McDonough,2011,39.4
McDonough,2012,34.2
MD Fox,2007,38.2
MD Fox,2008,42.3
MD Fox,2009,52.7
MD Fox,2010,53.8
MD Fox,2011,
MD Fox,2012,
Milner,2007,30.8
