CT School Districts,"Student Poverty (Pct Eligible Free-Reduced Price Lunch, Oct 2012)","Test Score (CMT Performance DPI Overall, Spring 2013)"
Achievement First Hartford Academy,1,
Amistad Academy District,0.811,
Andover School District,0.14,88.9
Ansonia School District,0.672,68.2
Area Cooperative Educational Services,0.471,70.1
Ashford School District,0.33,80.4
Avon School District,0.06,93.8
Barkhamsted School District,0.069,89.3
Berlin School District,0.134,86.8
Bethany School District,0.059,84.2
Bethel School District,0.177,88.9
Bloomfield School District,0.481,77.8
Bolton School District,0.123,87
Bozrah School District,0.216,82.7
Branford School District,0.225,84.1
Bridgeport Achievement First District,0.822,
Bridgeport School District,1,53.7
Bristol School District,0.368,74.9
Brookfield School District,0.094,89.5
Brooklyn School District,0.284,84.4
Canaan School District,0.147,85.3
Canterbury School District,0.231,87.9
Canton School District,0.101,91.1
Capitol Region Education Council,0.447,79.5
Chaplin School District,0.324,71.4
Cheshire School District,0.072,90.1
Chester School District,0.116,93.8
Clinton School District,0.194,87.2
Colchester School District,0.141,87.4
Colebrook School District,0.173,88.9
Columbia School District,0.127,88.3
Common Ground High School Distict,0.58,
Connecticut Technical High School,0.403,
Cooperative Educational Service Center,0.327,
Cornwall School District,0.204,89.5
Coventry School District,0.17,88
Cromwell School District,0.136,86.5
Danbury School District,0.515,73.4
Darien School District,0.006,93.6
Deep River School District,0.138,83.2
Derby School District,0.532,69.4
East Granby School District,0.051,87.2
East Haddam School District,0.11,87.4
East Hampton School District,0.132,85.6
East Hartford School District,0.609,60.5
East Haven School District,0.439,69.5
East Lyme School District,0.118,90.6
East Windsor School District,0.369,74
Eastern Connecticut Regional Educational Service Center,0.28,
Eastford School District,0.169,86
Easton School District,0.02,92.7
Education Connection,0.976,
Ellington School District,0.099,91.3
Elm City College Preparatory School,0.74,
Enfield School District,0.354,83.7
Essex School District,0.116,87.9
Explorations District,0.301,
Fairfield School District,0.099,90.6
Farmington School District,0.1,91.8
Franklin School District,0.155,89.1
Glastonbury School District,0.085,91.5
Granby School District,0.084,92.5
Greenwich School District,0.146,89.3
Griswold School District,0.312,78.9
Groton School District,0.426,78.4
Guilford School District,0.076,91.4
Hamden School District,0.401,75.5
Hampton School District,0.222,80.9
Hartford School District,0.853,58.1
Hartland School District,0.07,84.3
Hebron School District,0.062,91.2
Highville Charter School District,0.71,
Integrated Day Charter School,0.303,
Interdistrict School for Arts and Communication,0.665,
Jumoke Academy District,0.581,
Kent School District,0.133,87.3
Killingly School District,0.426,73.9
Learn,0.447,75.6
Lebanon School District,0.153,86.3
Ledyard School District,0.192,86.6
Lisbon School District,0.226,85.1
Litchfield School District,0.099,89
Madison School District,0.047,92.8
Manchester School District,0.542,72.3
Mansfield School District,0.237,90
Marlborough School District,0.077,90.1
Meriden School District,0.698,65.7
Middletown School District,0.442,76.3
Milford School District,0.214,83.9
Monroe School District,0.066,91.9
Montville School District,0.344,80.1
Naugatuck School District,0.46,73.1
New Beginnings Inc. Family Academy,0.83,
New Britain School District,0.81,49.7
New Canaan School District,0,95.3
New Fairfield School District,0.1,87.3
New Hartford School District,0.09,90.9
New Haven School District,0.781,60.1
New London School District,0.788,61.4
New Milford School District,0.196,80.9
Newington School District,0.177,87.6
Newtown School District,0.067,
Norfolk School District,0.14,82.4
North Branford School District,0.141,84.7
North Canaan School District,0.232,81.6
North Haven School District,0.132,85.5
North Stonington School District,0.177,85.2
Norwalk School District,0.473,78
Norwich Free Academy District,0.249,
Norwich School District,0.698,61.2
Odyssey Community School District,0.429,
Old Saybrook School District,0.173,90
Orange School District,0.043,91.2
Oxford School District,0.073,88.3
Park City Prep Charter School,0.693,
Plainfield School District,0.446,77.2
Plainville School District,0.265,83.5
Plymouth School District,0.266,78.1
Pomfret School District,0.144,85.3
Portland School District,0.17,92.4
Preston School District,0.184,89.4
Putnam School District,0.568,71.3
Redding School District,0.042,93.4
Regional School District 01,0.192,
Regional School District 04,0.117,87.4
Regional School District 05,0.044,94.2
Regional School District 06,0.103,86.1
Regional School District 07,0.093,91
Regional School District 08,0.049,91.4
Regional School District 09,0.036,
Regional School District 10,0.066,88.1
Regional School District 11,0.264,84
Regional School District 12,0.082,91.5
Regional School District 13,0.058,88.2
Regional School District 14,0.058,87.8
Regional School District 15,0.053,90.5
Regional School District 16,0.14,85.6
Regional School District 17,0.079,93.2
Regional School District 18,0.066,90.7
Regional School District 19,0.155,
Ridgefield School District,0.029,93.8
Rocky Hill School District,0.079,90.2
Salem School District,0.114,87.9
Salisbury School District,0.126,91.2
Scotland School District,0.197,78.8
Seymour School District,0.261,79.5
Sharon School District,0.213,77.5
Shelton School District,0.208,87.8
Sherman School District,0.07,89.6
Side By Side Charter School District,0.361,
Simsbury School District,0.083,92.8
Somers School District,0.063,87.3
South Windsor School District,0.11,89.2
Southington School District,0.143,89.6
Sprague School District,0.414,86.4
Stafford School District,0.29,87
Stamford Academy District,0.964,
Stamford School District,0.501,76.6
Sterling School District,0.355,77
Stonington School District,0.192,84.8
Stratford School District,0.428,79.4
Suffield School District,0.109,90.1
The Bridge Academy District,0.808,
The Gilbert School District,0.432,
Thomaston School District,0.141,82
Thompson School District,0.295,76.4
Tolland School District,0.055,90.6
Torrington School District,0.469,79.3
Trailblazers Academy District,0.875,
Trumbull School District,0.089,91.4
Unified School District #1,1,
Unified School District #2,0.82,
Union School District,,89.3
Vernon School District,0.366,74.1
Voluntown School District,0.244,84
Wallingford School District,0.176,82.1
Waterbury School District,0.81,60
Waterford School District,0.159,87.5
Watertown School District,0.206,82.6
West Hartford School District,0.202,86
West Haven School District,0.511,69.1
Westbrook School District,0.127,89.6
Weston School District,0.015,93.2
Westport School District,0.037,93.9
Wethersfield School District,0.195,83.1
Willington School District,0.148,83.4
Wilton School District,0.018,93.5
Winchester School District,0.606,73.3
Windham School District,0.761,53.6
Windsor Locks School District,0.359,75.8
Windsor School District,0.343,75.7
Wolcott School District,0.216,90.7
Woodbridge School District,0.055,92.9
Woodstock Academy District,0.039,
Woodstock School District,0.12,87.8
