district,median household income,grade levels
Andover School District,88438,1.7
Ansonia School District,45505,-0.4
Ashford School District,75127,0.5
Avon School District,115571,2.6
Barkhamsted School District,89911,1.4
Berlin School District,87432,1.5
Bethany School District,100083,1.5
Bethel School District,85589,1.7
Bloomfield School District,73104,-0.5
Bolton School District,86890,1.6
Bozrah School District,78580,0.9
Branford School District,70785,1.1
Bridgeport School District,41050,-1.7
Bristol School District,57610,0.3
Brookfield School District,107537,1.8
Brooklyn School District,59262,0.5
Canterbury School District,73038,1
Canton School District,87891,1.9
Chaplin School District,75368,0.1
Cheshire School District,111638,2
Chester School District,74911,1.7
Clinton School District,71599,1
Colchester School District,96774,1.2
Colebrook School District,79667,1.5
Columbia School District,90725,1
Coventry School District,93816,1.1
Cromwell School District,75859,1.2
Danbury School District,64969,0
Darien School District,205688,2.6
Deep River School District,71500,1.4
Derby School District,53098,-0.8
East Granby School District,71250,1.6
East Haddam School District,89615,1.1
East Hampton School District,94747,1.2
East Hartford School District,50400,-1.4
East Haven School District,63673,-0.5
East Lyme School District,78257,1.9
East Windsor School District,72785,0
Eastford School District,83015,1.5
Easton School District,150000,2.4
Ellington School District,84699,1.5
Enfield School District,67191,0.7
Essex School District,86298,1.8
Fairfield School District,117705,2
Farmington School District,88935,2.4
Franklin School District,89643,1.6
Glastonbury School District,106678,2
Granby School District,97894,2.3
Greenwich School District,132164,2
Griswold School District,59387,0.1
Groton School District,60684,0.3
Guilford School District,96151,2.3
Hamden School District,68794,0
Hampton School District,74559,0
Hartford School District,29430,-1.7
Hartland School District,88362,1.9
Hebron School District,111792,2
Killingly School District,57205,0
Lebanon School District,83651,0.9
Ledyard School District,87518,1.3
Lisbon School District,80129,0.4
Litchfield School District,86801,1.6
Madison School District,110761,2.3
Manchester School District,63274,-0.1
Mansfield School District,66143,1.7
Marlborough School District,110694,2.1
Meriden School District,52590,-0.9
Middletown School District,59994,0.1
Milford School District,80460,1
Monroe School District,103589,1.9
Montville School District,68298,0.4
Naugatuck School District,59056,-0.3
New Britain School District,40294,-2.4
New Canaan School District,161848,2.7
New Fairfield School District,103100,1.3
New Hartford School District,86354,2
New Haven School District,37428,-1.3
New London School District,43307,-1.5
New Milford School District,80792,0.7
Newington School District,77368,1.1
Newtown School District,109159,2.3
Norfolk School District,71538,1.1
North Branford School Distric,84783,0.7
North Haven School District,86250,0.9
North Stonington School Distr,82900,1.1
Norwalk School District,74728,0.1
Norwich School District,48597,-0.9
Old Saybrook School District,75549,1.4
Orange School District,106942,2.1
Oxford School District,102167,1.2
Plainfield School District,62708,0.1
Plainville School District,60630,0.8
Plymouth School District,70273,0.3
Pomfret School District,84918,1.4
Portland School District,88693,1.5
Preston School District,74141,1
Putnam School District,46627,-0.5
Redding School District,119112,2.4
Regional School District 06,88260,0.9
Regional School District 10,97262,1.5
Regional School District 12,86095,1.6
Regional School District 13,110472,1.2
Regional School District 14,82734,1.3
Regional School District 15,84761,1.8
Regional School District 16,91715,0.8
Regional School District 17,103292,1.8
Regional School District 18,86339,1.9
Ridgefield School District,147993,2.6
Rocky Hill School District,77560,1.5
Salem School District,100625,1.8
Salisbury School District,68094,1.8
Scotland School District,78250,0.6
Seymour School District,75426,0.7
Shelton School District,86138,1.2
Sherman School District,112344,1.5
Simsbury School District,115000,2.5
Somers School District,98846,1.1
South Windsor School District,90499,1.6
Southington School District,80029,1.6
Stafford School District,61959,1
Stamford School District,76779,0
Sterling School District,68833,0
Stonington School District,81026,1
Stratford School District,66361,0.5
Suffield School District,92737,1.7
Thomaston School District,76692,0.6
Thompson School District,64974,0.1
Tolland School District,103869,1.7
Torrington School District,51951,0.2
Trumbull School District,108854,2.1
Vernon School District,61038,0.1
Voluntown School District,75938,0.9
Wallingford School District,75346,0.8
Waterbury School District,40639,-1.3
Waterford School District,73156,1.3
Watertown School District,80067,0.5
West Hartford School District,82322,1.5
West Haven School District,52353,-0.6
Westbrook School District,62832,1.2
Weston School District,207262,2.4
Westport School District,160106,2.6
Wethersfield School District,77740,1.1
Willington School District,72011,0.8
Wilton School District,167094,2.5
Winchester School District,58458,-0.2
Windham School District,41639,-2
Windsor School District,79528,0.1
Windsor Locks School District,66583,0.1
Wolcott School District,83993,1.6
Woodbridge School District,138082,2.6
Woodstock School District,77366,1.2
