Station,Address,City,State,Longitude,Latitude
BMW OF DARIEN,138-142 Ledge Rd,Darien,CT,-73.4764687,41.072882
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,CT,-72.773473,41.527367
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,CT,-73.065583,41.445481
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,CT,-72.3825,41.3102778
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,CT,-73.264511,41.143125
FOUNDRY66,50 Franklin St,Norwich,CT,-72.0741188,41.525611
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,CT,-72.759717,41.722672
GLASTONBURYEV,2327-2333 Main St,Glastonbury,CT,-72.6086744,41.711717
Whole Foods Market,150 Ledge Rd,Darien,CT,-73.476189,41.072919
Mystic Marriott Hotel and Spa,625 North Rd,Groton,CT,-72.026147,41.365973
Brass Mill Center - Shoppers World,495 Union St,Waterbury,CT,-73.025659,41.550922
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,CT,-72.790618,41.730405
D'Addario Nissan,329 Bridgeport Ave,Shelton,CT,-73.106051,41.299792
CT RAIL,198 N Cherry St,Wallingford,CT,-72.8231924,41.4618954
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,CT,-72.679679,41.650999
Goodwives Shopping Center,25 Old Kings Hwy,Darien,CT,-73.466318,41.078282
City of New Haven - Union Station Garage,50 Union Ave,New Haven,CT,-72.926722,41.297487
Easton Public Library,691 Morehouse Rd,Easton,CT,-73.297822,41.251966
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,CT,-72.562282,41.80452
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,CT,-73.138786,41.988528
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,CT,-71.961361,41.373562
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,CT,-72.670609,41.929342
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,CT,-72.261825,41.811817
Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,CT,-72.560456,41.263416
Schaller Mitsubishi,25 Veterans Dr,New Britain,CT,-72.770648,41.649365
Mansfield Public Library,54 Warrenville Rd,Mansfield,CT,-72.195701,41.768396
WESTLODGE,811 Burr Mountain Rd,Torrington,CT,-73.1049768,41.8750604
TOWNHALL,100 Bentley Dr,Harwinton,CT,-73.070231,41.7640244
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,CT,-72.065994,41.317722
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,CT,-72.6824246,41.5871612
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,CT,-73.230597,41.176442
Gates Nissan,143 Boston Post Rd,North Windham,CT,-72.188445,41.728247
Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,CT,-72.43786,41.28006
North Haven PaviIion,100 Universal Dr,North Haven,CT,-72.870574,41.353572
UNION STATION,Union Ave and Union Station,New Haven,CT,-72.9270748,41.2975353
Torrington Town Hall,140 Main St,Torrington,CT,-73.121223,41.803497
Crowley Nissan,1451 Farmington Ave,Bristol,CT,-72.894672,41.699374
Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,CT,-72.781436,41.296212
Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,CT,-72.242231,41.800421
Manchester City Nissan,30 Tolland Turnpike,Manchester,CT,-72.507845,41.814316
