Country,City,nat_07,int_07,Total,Alt_name,CountryCod,LATITUDE,LONGITUDE
Nigeria,Port Harcourt,1038401.000000,28340.000000,1066741.000000,PORTHARCOURT,NGA,4.778333,7.011667
Nigeria,Calabar,237666.000000,0.000000,237666.000000,CALABAR,NGA,4.950000,8.316667
Nigeria,Qwerri,438269.000000,0.000000,438269.000000,OWERRI,NGA,5.483330,7.033330
Nigeria,Warri,96200.000000,12090.000000,108290.000000,WARRI,NGA,5.510000,5.750000
Nigeria,Benin City,141856.000000,0.000000,141856.000000,BENIN,NGA,6.333333,5.633333
Nigeria,Enugu,548054.000000,0.000000,548054.000000,ENUGU,NGA,6.433333,7.483333
Nigeria,Lagos,4013301.500000,3294925.833333,7308227.333333,LAGOS,NGA,6.453056,3.395833
Nigeria,Ibadan,4940.000000,0.000000,4940.000000,IBADAN,NGA,7.387778,3.896389
Nigeria,Ilorin,4940.000000,0.000000,4940.000000,ILORIN,NGA,8.530000,4.570000
Nigeria,Abuja,2333805.500000,288132.000000,2621937.500000,ABUJA,NGA,9.120000,7.460000
Nigeria,Kaduna,141024.000000,0.000000,141024.000000,KADUNA,NGA,10.523056,7.440278
Nigeria,Kano,256178.000000,187958.333333,444136.333333,KANO,NGA,11.996389,8.516667
Nigeria,Sokoto,49933.000000,0.000000,49933.000000,SOKOTO,NGA,13.033300,5.250000
