Country Name,Country Code,Indicator Name,Value
Aruba,ABW,Military expenditure (% of GDP),
Afghanistan,AFG,Military expenditure (% of GDP),0.984560504
Angola,AGO,Military expenditure (% of GDP),1.777137554
Albania,ALB,Military expenditure (% of GDP),1.178900558
Andorra,AND,Military expenditure (% of GDP),
Arab World,ARB,Military expenditure (% of GDP),5.672934357
United Arab Emirates,ARE,Military expenditure (% of GDP),
Argentina,ARG,Military expenditure (% of GDP),0.854560979
Armenia,ARM,Military expenditure (% of GDP),4.778337587
American Samoa,ASM,Military expenditure (% of GDP),
Antigua and Barbuda,ATG,Military expenditure (% of GDP),
Australia,AUS,Military expenditure (% of GDP),1.891559767
Austria,AUT,Military expenditure (% of GDP),0.735992539
Azerbaijan,AZE,Military expenditure (% of GDP),3.773694092
Burundi,BDI,Military expenditure (% of GDP),1.882161471
Belgium,BEL,Military expenditure (% of GDP),0.925790635
Benin,BEN,Military expenditure (% of GDP),0.863004045
Burkina Faso,BFA,Military expenditure (% of GDP),2.059185676
Bangladesh,BGD,Military expenditure (% of GDP),1.364917496
Bulgaria,BGR,Military expenditure (% of GDP),1.688432324
Bahrain,BHR,Military expenditure (% of GDP),3.595485391
"Bahamas, The",BHS,Military expenditure (% of GDP),
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),1.111913106
Belarus,BLR,Military expenditure (% of GDP),1.265447172
Belize,BLZ,Military expenditure (% of GDP),1.262456192
Bermuda,BMU,Military expenditure (% of GDP),
Bolivia,BOL,Military expenditure (% of GDP),1.496550175
Brazil,BRA,Military expenditure (% of GDP),1.474901547
Barbados,BRB,Military expenditure (% of GDP),
Brunei Darussalam,BRN,Military expenditure (% of GDP),2.370098967
Bhutan,BTN,Military expenditure (% of GDP),
Botswana,BWA,Military expenditure (% of GDP),2.782321954
Central African Republic,CAF,Military expenditure (% of GDP),1.408609672
Canada,CAN,Military expenditure (% of GDP),1.252629232
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),1.644165655
Switzerland,CHE,Military expenditure (% of GDP),0.675557386
Channel Islands,CHI,Military expenditure (% of GDP),
Chile,CHL,Military expenditure (% of GDP),1.887383946
China,CHN,Military expenditure (% of GDP),1.865936601
Cote d'Ivoire,CIV,Military expenditure (% of GDP),1.35765672
Cameroon,CMR,Military expenditure (% of GDP),1.250329086
"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),0.668776975
"Congo, Rep.",COG,Military expenditure (% of GDP),2.54695464
Colombia,COL,Military expenditure (% of GDP),3.172560216
Comoros,COM,Military expenditure (% of GDP),
Cabo Verde,CPV,Military expenditure (% of GDP),0.553854418
Costa Rica,CRI,Military expenditure (% of GDP),0
Caribbean small states,CSS,Military expenditure (% of GDP),
Cuba,CUB,Military expenditure (% of GDP),
Curacao,CUW,Military expenditure (% of GDP),
Cayman Islands,CYM,Military expenditure (% of GDP),
Cyprus,CYP,Military expenditure (% of GDP),1.572161935
Czech Republic,CZE,Military expenditure (% of GDP),1.123605709
Germany,DEU,Military expenditure (% of GDP),1.233768757
Djibouti,DJI,Military expenditure (% of GDP),
Dominica,DMA,Military expenditure (% of GDP),
Denmark,DNK,Military expenditure (% of GDP),1.181415207
Dominican Republic,DOM,Military expenditure (% of GDP),0.743856125
