Year,Country,FundingAgency,FundingAmount
2000,"Korea, N",Dept of Agriculture,"$32 242 376"
2000,"Korea–North",Dept of Agriculture,"$86,151,301"
2000,"Korea North",department of State,"166855"
2000,"SouthKorea",U.S. Agency for International Development,"282,805a"
2000,"south Korea",Trade and Development Agency,"  735718"
2001,"North Korea",US Agency for International Development,"345,399"
2001,"N Korea",Department of Argic,"  117715223"
2001,"So Korea",Department of agriculture,"2260293.00"
2001,"Korea, North",State Department,"183,752"
2001,"Korea, South",Trade and Development Agency,"329,953"
2002,"Korea, N",Department of Agriculture,"37,322,244.0"
2002,"Korea, South",U.S. Agency for International Development,"67,990.00"
2002,"Korea, South",Trade and Development Agency,"$294,340"
2003,"Korea, North",U.S. Agency for International Development,"$333 823"
2003,"Korea, North",Department - Agriculture,"$26,766,828"
2003,"Korea, North",Department - Agriculture,"$19,337,695"
2003,"Korea, No",Department of State,"220,323"
2003,"Korea, South",U.S. Agency for International Development,"66,765"
2003,"Korea, South",Trade and Development Agency,"19,899"
2004,"Korea, North",U.S. Agency f/ International Development,"782,473"
2004,"Korea, North",U.S. Agency: International Development,"311,432"
2004,"Korea, North",U.S. Agency for International Development,"460,355"
2004,"Korea, North",Department of Agriculture,"11,503,280"
2004,"Korea, N",Department of Agriculture,"$54,680,490"
2004,"Korea, North",Department of State,"1,108,637"
2004,"Korea, North",Department Of State,"$1,408"
2004,"Korea, No",Department of State,"215,180"
2005,"Korea, North",U.S. Agency for International Development,"$1,070,615"
2005,"Korea, North",Department of Agriculture,"9,200,835"
2005,"Korea, N",Department of State,"107,568"
2005,"Korea, South",U.S. Agency for International Development,"189,825"
2005,"Korea, South",Department of Agricult,"183,498"
2005,"Korea, South",Department of State,"366,996"
2005,"Korea, South",Department of Commerce,"1,266"
2006,"Korea, North",Department of State,"1,213,979"
2006,"Korea, North",Department of State,"275,904"
2006,"South Korea",U.S. Agency for INt'l Development,"61,312"
2006,"Korea South",Department of State,"26,017"
2007,"Korea, North",U.S. Agency for International Development,"4,894,361"
2007,"Korea, North",Department of State,"1,561,418"
2007,"Korea-North",Department of State,"21,449,645"
2007,"Korea, North",Department of State,"605,229"
2007,"Korea, South",Department of State,"358,123"
2007,"Korea: South",Department of Energy,"15,767,907"
2008,"Korea, North",U.S. Agency for International Development,"109,941,520"
2008,"Korea, North",Department of Agriculture,"7,017,544"
2008,"Korea, North",Department of Agriculture,"73,701,170"
2008,"Korea::North",Department of State,"1,642,580"
2008,"Korea, North",Department of State,"23,113,689"
2008,"Korea, North",Department of State,"1,272,992"
2008,"Korea ;North",Department of Energy,"37,427"
2008,"Korea, South",Department of State,"233,918"
2008,"Korea, South",Department of Energy,"6,046,784"
2008,"South Korea",Department- Health and Human Services,"175,439"
2008,"South Korea",Department of Justice,"63,270"
2009,"Korea, North",USA Agency for International Development,"-3,460,698"
2009,"Korea, North",U.S. Agency for International Development,"10,538"
