State,StateAbbr,HomeValue2019
California,CA,559861
Texas,TX,207201
New York,NY,325115
Florida,FL,244993
Illinois,IL,204414
Pennsylvania,PA,194311
Ohio,OH,149391
Michigan,MI,173152
Georgia,GA,200317
North Carolina,NC,201207
New Jersey,NJ,338990
Virginia,VA,282994
Washington,WA,406271
Massachusetts,MA,427521
Indiana,IN,154033
Arizona,AZ,263366
Tennessee,TN,181857
Missouri,MO,161763
Maryland,MD,312343
Wisconsin,WI,196602
Minnesota,MN,257143
Colorado,CO,400681
Alabama,AL,139701
South Carolina,SC,186249
Louisiana,LA,166597
Kentucky,KY,145523
Oregon,OR,356107
Oklahoma,OK,127900
Connecticut,CT,259964
Iowa,IA,152121
Mississippi,MS,123205
Arkansas,AR,128820
Kansas,KS,149033
Utah,UT,343494
Nevada,NV,304206
New Mexico,NM,201214
West Virginia,WV,104811
Nebraska,NE,174115
Idaho,ID,278480
Hawaii,HI,639869
Maine,ME,239246
New Hampshire,NH,291041
Rhode Island,RI,299562
Montana,MT,279088
Delaware,DE,261349
South Dakota,SD,210273
Alaska,AK,311129
North Dakota,ND,233001
Vermont,VT,255229
District of Columbia,DC,620945
Wyoming,WY,245096
