pointname,latitude,longitude
1,41.77454479,-72.67795519
2,41.8016062,-72.65909829
3,41.76746273,-72.67224746
4,41.74753178,-72.68716217
5,41.75716327,-72.69180558
6,41.76640157,-72.67339597
7,41.7909143,-72.67901262
8,41.77774448,-72.69897918
9,41.76254515,-72.70645404
10,41.76527464,-72.68677665
11,41.78042143,-72.67469695
12,41.76831852,-72.69471357
13,41.7410976,-72.68965075
14,41.79121602,-72.68107
15,41.77091613,-72.69727721
16,41.75163998,-72.66171445
17,41.77022685,-72.69370984
18,41.74053157,-72.69746278
19,41.77247037,-72.69327093
20,41.77870651,-72.67478166
21,41.76226997,-72.69025708
22,41.78567469,-72.69660885
23,41.74006747,-72.71419229
24,41.74022894,-72.69935028
25,41.77243545,-72.67803544
26,41.76329526,-72.68898523
27,41.77869073,-72.68618658
28,41.77362464,-72.69293115
29,41.73733137,-72.65938136
30,41.73431369,-72.67596377
31,41.74706944,-72.67665364
32,41.79154081,-72.68329579
33,41.74235313,-72.71147209
34,41.80055359,-72.69349063
35,41.7782081,-72.67667757
36,41.73612967,-72.67544974
37,41.77807513,-72.67266668
38,41.75452599,-72.68099934
39,41.7843629,-72.67587426
40,41.79279489,-72.67220155
41,41.78804881,-72.68632373
42,41.78690378,-72.66316231
43,41.73767876,-72.67123044
44,41.78167307,-72.68800633
45,41.76570859,-72.70956501
46,41.74227979,-72.71454908
47,41.7851473,-72.68424852
48,41.77531572,-72.69200515
49,41.75215923,-72.69309137
50,41.76014551,-72.70484853
51,41.7801877,-72.68368902
52,41.80311825,-72.69490776
53,41.77174284,-72.67558056
54,41.76046312,-72.67974349
55,41.75589678,-72.67295494
56,41.80311825,-72.69490776
57,41.75214729,-72.71465614
58,41.80274711,-72.69142013
59,41.80368031,-72.69562457
60,41.8008338,-72.65688464
61,41.77174284,-72.67558056
62,41.77958032,-72.69120984
63,41.78768523,-72.67355165
64,41.73847507,-72.67850098
65,41.7679339,-72.67806336
66,41.74761426,-72.67297913
67,41.73439432,-72.69652244
68,41.74926668,-72.67548613
