name,pop2015,land-area-sq-mi
Alabama,4858979,50645
Alaska,738432,570641
Arizona,6828065,113594
Arkansas,2978204,52035
California,39144818,155779
Colorado,5456574,103642
Connecticut,3590886,4842
Delaware,945934,1949
District of Columbia,672228,61
Florida,20271272,53625
Georgia,10214860,57513
Hawaii,1431603,6423
Idaho,1654930,82643
Illinois,12859995,55519
Indiana,6619680,35826
Iowa,3123899,55857
Kansas,2911641,81759
Kentucky,4425092,39486
Louisiana,4670724,43204
Maine,1329328,30843
Maryland,6006401,9707
Massachusetts,6794422,7800
Michigan,9922576,56539
Minnesota,5489594,79627
Mississippi,2992333,46923
Missouri,6083672,68742
Montana,1032949,145546
Nebraska,1896190,76824
Nevada,2890845,109781
New Hampshire,1330608,8953
New Jersey,8958013,7354
New Mexico,2085109,121298
New York,19795791,47126
North Carolina,10042802,48618
North Dakota,756928,69001
Ohio,11613423,40861
Oklahoma,3911338,68595
Oregon,4028977,95988
Pennsylvania,12802503,44743
Rhode Island,1056298,1034
South Carolina,4896146,30061
South Dakota,858469,75811
Tennessee,6600299,41235
Texas,27469114,261232
Utah,2995919,82170
Vermont,626042,9217
Virginia,8382993,39490
Washington,7170351,66456
West Virginia,1844128,24038
Wisconsin,5771337,54158
Wyoming,586107,97093
Puerto Rico,3474182,3424
TOTAL,324893003,3535329
